Area,Bedrooms,Bathrooms,Age,Parking,Location,Price
2168,2,2,2,1,Navi Mumbai,21244000
1955,5,4,13,0,Pune,21190000
2320,4,1,27,2,Navi Mumbai,22110000
2553,1,3,9,1,Navi Mumbai,23774000
2804,5,2,15,0,Thane,26582000
2385,4,1,12,1,Navi Mumbai,23180000
3566,2,4,29,0,Kalyan,30478000
2787,1,4,18,2,Mumbai,28496000
943,4,2,27,1,Pune,11494000
805,3,4,10,0,Navi Mumbai,10840000
1938,3,4,8,1,Thane,19804000
935,4,1,23,2,Mumbai,14030000
2033,2,1,24,2,Mumbai,21764000
3689,1,2,6,0,Kalyan,31512000
1224,2,2,15,2,Mumbai,16042000
2910,2,4,22,1,Thane,26380000
1287,5,1,24,0,Thane,13696000
1042,5,1,29,1,Kalyan,11086000
3374,4,4,30,2,Pune,31592000
911,5,2,3,2,Thane,12438000
3402,5,1,25,2,Mumbai,34166000
2022,5,4,21,1,Mumbai,24026000
2672,3,1,27,1,Navi Mumbai,24226000
1032,4,3,20,1,Pune,12856000
2383,2,3,19,2,Navi Mumbai,22614000
2504,4,3,10,0,Mumbai,27432000
1742,4,2,24,1,Kalyan,16736000
3099,4,3,0,1,Thane,29692000
1344,4,2,11,1,Thane,14802000
1745,5,3,17,0,Kalyan,17710000
1382,1,2,23,1,Navi Mumbai,13406000
2874,2,4,20,2,Navi Mumbai,26792000
2435,1,1,9,0,Navi Mumbai,22030000
3433,2,3,21,2,Thane,30514000
2538,5,3,13,2,Kalyan,24654000
1954,3,4,8,1,Thane,19932000
1544,1,2,10,0,Kalyan,14152000
3721,2,2,6,2,Navi Mumbai,33668000
1732,5,3,3,0,Thane,18906000
1531,3,2,9,0,Kalyan,15098000
1118,3,1,1,2,Thane,12894000
3456,2,4,3,0,Kalyan,30898000
1764,4,4,14,1,Pune,19312000
810,3,4,3,0,Navi Mumbai,11230000
2614,1,1,4,0,Kalyan,22712000
1844,1,2,3,2,Navi Mumbai,18302000
3083,5,2,24,2,Navi Mumbai,29164000
2445,4,3,27,2,Navi Mumbai,23710000
1850,5,1,19,2,Mumbai,22050000
3724,2,2,8,2,Mumbai,36392000
1243,2,2,17,0,Pune,13194000
610,4,4,22,2,Navi Mumbai,9580000
1792,1,2,9,2,Thane,17186000
3479,4,1,21,0,Thane,30882000
3826,5,2,13,0,Kalyan,34258000
1520,2,3,26,0,Mumbai,17760000
844,2,3,19,2,Kalyan,9302000
1782,4,1,14,2,Thane,18056000
3466,4,3,16,2,Navi Mumbai,32428000
2393,1,1,28,1,Thane,20544000
3072,3,1,2,0,Kalyan,27476000
3004,1,3,18,0,Pune,27032000
2527,5,4,29,1,Pune,25166000
2997,4,4,2,1,Thane,29076000
2272,3,3,21,0,Pune,22026000
1950,4,4,9,2,Navi Mumbai,20950000
3932,5,1,14,0,Thane,35356000
1633,3,1,24,1,Kalyan,15064000
3978,1,4,13,0,Pune,35374000
2723,3,4,20,1,Mumbai,28684000
1433,3,2,29,1,Navi Mumbai,14514000
3460,4,1,0,2,Kalyan,31580000
3873,2,2,9,2,Mumbai,37534000
2862,4,1,7,0,Navi Mumbai,27046000
1081,2,4,29,2,Thane,11598000
2684,3,4,26,1,Navi Mumbai,25272000
1598,4,2,12,0,Kalyan,15984000
2681,2,1,8,1,Thane,24348000
3826,5,3,26,0,Thane,34508000
3573,3,4,27,0,Navi Mumbai,32134000
2806,4,3,10,2,Kalyan,26448000
2145,4,3,27,0,Pune,21210000
2942,4,2,27,1,Mumbai,29986000
1903,4,4,12,2,Pune,20724000
2628,1,2,16,2,Thane,23524000
1011,4,1,16,1,Mumbai,14788000
3559,2,4,27,2,Pune,32222000
906,4,3,10,2,Navi Mumbai,12248000
3261,1,3,27,2,Kalyan,27738000
2156,3,4,27,2,Mumbai,23998000
3129,1,2,20,2,Thane,27332000
1531,1,4,3,2,Mumbai,19198000
2417,2,3,28,0,Mumbai,24836000
1928,1,3,11,1,Navi Mumbai,18674000
1196,2,4,18,2,Pune,13768000
1296,2,1,19,1,Kalyan,12118000
3398,2,4,29,2,Pune,30834000
1551,4,3,14,1,Mumbai,19808000
3895,4,3,21,2,Pune,35910000
902,4,3,18,1,Navi Mumbai,11616000
3427,3,4,27,1,Pune,31466000
2175,4,1,7,1,Kalyan,20750000
2070,5,3,22,1,Mumbai,24060000
3999,4,3,0,2,Mumbai,40292000
3083,4,3,24,0,Kalyan,27564000
3884,3,2,20,0,Kalyan,33372000
1626,2,1,28,2,Mumbai,18308000
1865,4,1,18,1,Pune,19020000
969,3,3,23,1,Pune,11702000
1422,2,3,16,2,Thane,14676000
1273,3,4,30,1,Thane,13384000
3894,1,4,30,0,Pune,33852000
3689,2,4,30,2,Thane,32412000
969,4,1,8,2,Mumbai,15052000
2462,3,3,18,1,Thane,23196000
1043,2,4,0,2,Kalyan,12144000
1943,5,2,20,0,Navi Mumbai,19844000
3471,3,4,3,0,Mumbai,35318000
752,3,4,3,0,Pune,11066000
2801,2,4,14,1,Kalyan,25308000
2316,5,2,28,1,Mumbai,25428000
2604,5,4,30,1,Mumbai,28232000
3427,3,2,14,1,Pune,31516000
2085,1,3,17,2,Thane,19430000
848,4,3,6,0,Navi Mumbai,11584000
975,2,1,1,1,Pune,11750000
1115,5,2,2,2,Pune,14820000
3001,2,2,10,0,Kalyan,26308000
611,3,2,4,2,Thane,8988000
3870,2,1,21,0,Pune,33710000
660,3,2,18,1,Mumbai,11680000
1313,3,1,4,2,Navi Mumbai,14704000
2754,1,1,15,1,Thane,24082000
2702,5,1,14,2,Pune,26616000
3119,1,3,14,2,Mumbai,31052000
849,4,4,13,2,Mumbai,14742000
2608,4,1,28,0,Thane,23564000
3091,2,1,4,1,Kalyan,27228000
3193,5,3,12,2,Kalyan,29944000
1807,4,4,3,2,Mumbai,22906000
3281,5,2,13,1,Pune,31398000
2294,3,4,12,1,Mumbai,25652000
1880,4,3,21,1,Thane,18890000
1225,4,1,2,0,Mumbai,17000000
2368,1,3,25,0,Kalyan,20294000
845,5,3,21,0,Navi Mumbai,11310000
2048,4,1,30,1,Kalyan,18584000
1879,3,1,18,2,Pune,18832000
1233,4,2,27,0,Thane,12914000
2878,3,1,24,1,Kalyan,25024000
1526,4,1,19,2,Thane,15758000
718,2,3,22,1,Thane,8544000
2037,1,2,27,0,Kalyan,17246000
3292,4,1,4,2,Mumbai,33836000
975,5,2,12,1,Navi Mumbai,12700000
1996,2,3,9,2,Thane,19618000
3781,5,1,28,0,Pune,34148000
1244,5,1,21,0,Thane,13502000
2414,4,4,19,1,Navi Mumbai,23962000
1718,2,1,11,1,Mumbai,19694000
1760,5,4,16,2,Thane,19180000
786,2,4,19,0,Mumbai,12538000
1437,3,2,24,0,Thane,14196000
1785,3,1,0,1,Navi Mumbai,18480000
1319,2,4,17,2,Pune,14802000
2649,5,3,2,1,Mumbai,29692000
2386,1,4,29,0,Thane,21138000
2958,4,4,22,2,Navi Mumbai,28364000
1785,1,4,0,1,Pune,18680000
3882,5,4,26,2,Thane,35656000
960,4,1,7,1,Kalyan,11030000
2240,5,1,12,1,Thane,22120000
1507,3,2,2,2,Mumbai,19456000
2773,5,2,28,1,Thane,25884000
3579,2,2,3,0,Thane,31882000
1408,2,2,24,2,Mumbai,17064000
1325,4,4,24,2,Kalyan,14200000
2438,5,3,27,2,Thane,23754000
1218,4,1,15,1,Thane,13294000
3861,3,1,11,2,Mumbai,37538000
1871,4,4,1,0,Thane,19918000
1775,1,1,19,2,Kalyan,15650000
2174,4,1,14,2,Pune,21892000
1916,5,4,16,0,Mumbai,23228000
2445,1,3,22,0,Kalyan,21060000
3246,2,1,7,2,Navi Mumbai,29518000
2399,5,2,11,1,Thane,23742000
2186,4,3,21,2,Mumbai,24738000
3832,3,1,10,0,Kalyan,33156000
3378,4,3,8,2,Kalyan,31124000
1215,3,1,18,2,Pune,13520000
2032,3,4,4,2,Mumbai,24156000
1868,5,4,20,1,Pune,20344000
3344,5,1,20,2,Navi Mumbai,31152000
2682,3,1,11,1,Pune,25406000
1477,3,4,6,0,Pune,16716000
1234,1,3,27,0,Kalyan,11122000
3757,5,1,21,1,Kalyan,33206000
1136,5,4,4,0,Pune,15088000
3437,5,2,23,1,Mumbai,34646000
2282,3,2,14,2,Thane,21856000
3681,4,2,17,0,Thane,32998000
3912,4,2,11,2,Kalyan,34946000
2404,4,3,24,1,Kalyan,22332000
2760,4,2,26,0,Kalyan,24580000
1166,3,1,20,1,Thane,12128000
2871,1,1,9,0,Pune,25818000
1717,4,2,26,1,Mumbai,20236000
1509,4,3,29,0,Navi Mumbai,15722000
818,4,3,7,1,Mumbai,14294000
2135,2,1,10,0,Thane,19680000
3841,2,2,1,1,Navi Mumbai,34678000
3451,2,4,14,2,Mumbai,34508000
924,1,3,6,0,Kalyan,9692000
3578,5,4,3,1,Pune,34874000
1833,1,1,7,1,Kalyan,16514000
2472,1,1,26,1,Kalyan,20676000
2795,1,2,22,0,Thane,24160000
2358,1,3,7,2,Navi Mumbai,22514000
1367,1,3,2,2,Kalyan,13836000
2678,5,1,12,1,Mumbai,28824000
3203,4,3,8,2,Mumbai,33524000
2062,1,3,7,2,Mumbai,22946000
3760,5,3,4,0,Thane,35080000
2836,3,2,26,2,Navi Mumbai,26088000
3448,4,2,25,0,Mumbai,33934000
3532,4,1,9,0,Mumbai,35106000
3840,2,1,10,1,Kalyan,32920000
2231,5,4,8,0,Pune,23648000
1771,3,1,27,2,Thane,16818000
1719,1,3,13,1,Navi Mumbai,16902000
2183,3,2,15,2,Navi Mumbai,21414000
2104,5,3,25,0,Navi Mumbai,21182000
923,4,2,17,1,Thane,11134000
1020,1,3,21,1,Thane,10510000
2426,5,4,5,2,Navi Mumbai,25458000
2039,4,1,23,1,Kalyan,18862000
2381,3,1,2,2,Navi Mumbai,23348000
2088,5,2,30,0,Pune,20804000
3088,4,1,4,0,Pune,29304000
3788,3,3,12,2,Mumbai,37504000
3078,2,4,30,1,Thane,27324000
2418,1,2,16,1,Navi Mumbai,22044000
1887,3,2,30,0,Mumbai,20696000
3613,2,4,16,1,Kalyan,31704000
1082,3,3,22,1,Pune,12656000
3106,3,4,6,0,Pune,29748000
903,4,2,28,2,Navi Mumbai,11024000
959,3,3,22,0,Kalyan,10172000
2820,3,3,27,0,Pune,26110000
3850,3,2,3,0,Pune,35250000
1569,4,1,11,2,Kalyan,15902000
2111,4,2,19,0,Mumbai,23538000
1866,4,4,16,1,Navi Mumbai,19728000
3972,5,1,4,1,Mumbai,39576000
2443,4,3,4,2,Kalyan,23844000
1345,2,4,16,0,Mumbai,17160000
2722,2,3,5,0,Thane,25226000
3505,2,3,30,2,Thane,30640000
923,3,2,20,2,Thane,10684000
1112,3,1,16,2,Pune,12796000
3024,5,2,5,2,Kalyan,28642000
3551,5,3,26,2,Mumbai,35908000
3980,1,1,1,2,Kalyan,34190000
1684,2,4,19,2,Mumbai,20122000
2639,5,3,20,1,Navi Mumbai,25912000
1603,4,3,14,0,Mumbai,20024000
1247,4,4,15,1,Pune,15126000
1993,5,2,10,2,Thane,20744000
3607,3,4,4,1,Kalyan,32756000
2900,1,3,7,1,Mumbai,29450000
1695,4,2,4,0,Mumbai,20960000
1788,4,4,7,0,Thane,18954000
2966,3,2,24,0,Navi Mumbai,26828000
2708,4,4,28,1,Navi Mumbai,25864000
694,1,4,16,1,Pune,9152000
1481,5,3,1,0,Thane,16998000
2627,5,4,9,2,Mumbai,29666000
1040,4,2,28,1,Thane,11520000
3728,4,3,1,1,Mumbai,37874000
2935,5,2,11,2,Thane,28230000
901,4,4,24,2,Thane,11408000
3980,5,1,4,0,Navi Mumbai,36640000
2128,3,3,24,0,Pune,20724000
3067,5,4,16,0,Mumbai,32436000
759,2,3,25,1,Kalyan,8122000
2471,2,2,10,2,Thane,23068000
1265,4,3,18,1,Kalyan,13520000
3992,5,4,22,2,Thane,36736000
2545,1,3,10,2,Mumbai,26660000
2306,5,3,25,2,Mumbai,25998000
3044,4,3,30,2,Kalyan,27352000
2965,2,1,18,1,Pune,26820000
2747,5,4,4,2,Pune,28376000
729,5,1,6,0,Navi Mumbai,10532000
1884,4,2,13,2,Pune,19922000
2280,5,4,27,2,Mumbai,25990000
3490,2,2,17,1,Navi Mumbai,31070000
2752,4,3,30,0,Navi Mumbai,25616000
2783,3,3,21,2,Thane,25814000
3098,4,2,30,0,Thane,27684000
2885,3,2,30,1,Thane,25680000
3487,2,4,10,1,Thane,31596000
2895,3,3,3,2,Kalyan,27010000
2155,4,3,30,0,Thane,20440000
772,3,1,11,1,Thane,9426000
3661,4,2,6,2,Thane,33788000
2902,3,2,3,2,Kalyan,26766000
1580,2,1,21,2,Pune,15790000
3213,2,1,3,1,Thane,28854000
3538,4,1,21,0,Mumbai,34554000
2854,2,4,20,1,Navi Mumbai,26432000
3264,2,3,10,1,Mumbai,32712000
3748,1,2,17,2,Mumbai,35634000
1317,4,2,29,0,Navi Mumbai,13886000
3827,4,2,29,2,Thane,33966000
753,1,3,18,2,Mumbai,11924000
1972,3,4,20,2,Kalyan,19076000
2623,2,4,8,0,Mumbai,27784000
1954,2,4,20,1,Pune,19532000
657,3,3,18,2,Pune,9656000
1318,5,4,26,1,Kalyan,14344000
1943,1,4,21,0,Pune,18694000
1175,4,3,29,0,Mumbai,15850000
1668,4,2,14,1,Thane,17244000
1836,5,1,8,2,Thane,19288000
3437,2,1,21,0,Navi Mumbai,29946000
1856,2,4,21,2,Thane,18198000
3427,1,3,11,2,Pune,31166000
1497,2,4,4,1,Kalyan,15376000
2130,4,4,24,2,Pune,21940000
3720,2,1,16,1,Kalyan,31660000
3482,3,1,29,2,Mumbai,33606000
852,5,2,18,2,Pune,11916000
1273,3,4,3,2,Pune,15634000
3536,5,4,2,2,Navi Mumbai,34488000
3912,1,4,4,2,Navi Mumbai,35396000
2471,5,1,17,1,Thane,23718000
3562,1,4,8,0,Pune,32296000
2968,1,1,13,1,Mumbai,29094000
2816,1,1,29,1,Mumbai,27078000
1775,4,2,24,0,Navi Mumbai,17800000
2133,4,4,27,1,Navi Mumbai,21314000
928,5,2,20,1,Mumbai,14724000
1331,5,4,16,0,Pune,16048000
614,1,3,14,2,Kalyan,7212000
2337,5,4,26,0,Pune,23596000
2486,3,2,8,0,Mumbai,26588000
731,4,1,7,0,Mumbai,12798000
1013,5,1,14,2,Mumbai,15604000
1602,1,4,14,0,Kalyan,15016000
1489,1,2,16,1,Pune,14912000
3941,5,3,18,2,Thane,36228000
1570,3,2,21,2,Pune,16510000
2293,3,3,1,2,Kalyan,22294000
3611,2,4,17,1,Mumbai,35438000
2010,4,3,22,1,Navi Mumbai,20280000
1211,3,4,5,2,Navi Mumbai,14738000
1587,2,3,27,2,Pune,16146000
3900,4,1,17,1,Navi Mumbai,35050000
2882,5,2,12,0,Thane,27356000
1432,3,1,29,1,Thane,13806000
978,5,2,1,1,Navi Mumbai,13274000
3359,5,1,27,0,Pune,30822000
3895,5,2,15,0,Thane,35310000
1841,1,2,29,0,Mumbai,19378000
3659,4,2,22,2,Pune,33672000
2224,2,3,24,1,Navi Mumbai,20892000
2509,5,3,9,1,Thane,25022000
2700,4,4,3,2,Navi Mumbai,27250000
3719,3,2,11,1,Navi Mumbai,33702000
787,5,2,23,0,Mumbai,13246000
1668,5,4,9,0,Pune,19094000
1951,2,4,18,0,Navi Mumbai,19108000
2855,3,3,24,1,Navi Mumbai,26440000
2487,2,3,5,0,Kalyan,22746000
2600,2,1,16,0,Mumbai,26300000
3950,1,1,13,0,Pune,34250000
878,2,1,6,2,Navi Mumbai,10624000
2128,1,4,21,1,Mumbai,22874000
627,5,4,0,0,Kalyan,9916000
3558,3,3,0,2,Navi Mumbai,33464000
3902,2,1,29,0,Kalyan,32266000
1209,2,2,19,2,Thane,12522000
3939,3,3,25,1,Mumbai,37862000
2128,4,4,18,0,Pune,21824000
1828,1,1,2,1,Navi Mumbai,17724000
2144,5,4,1,2,Mumbai,26202000
3478,2,1,15,1,Thane,30374000
2917,1,1,7,0,Kalyan,24986000
2547,3,1,29,0,Thane,22526000
2824,5,1,5,1,Mumbai,30342000
1448,5,2,24,2,Navi Mumbai,16084000
915,3,2,18,0,Kalyan,9720000
2193,5,3,12,2,Pune,23244000
3837,1,3,1,0,Navi Mumbai,34246000
1550,1,3,19,2,Kalyan,14450000
2224,3,1,20,1,Navi Mumbai,20992000
2609,2,3,17,1,Navi Mumbai,24322000
1360,5,4,2,2,Thane,16680000
3868,2,1,2,1,Pune,34844000
2156,2,4,10,1,Mumbai,24148000
974,1,3,14,1,Thane,10492000
1018,2,1,5,1,Navi Mumbai,11594000
2881,5,4,3,0,Mumbai,31598000
2049,5,1,19,2,Thane,20442000
2177,1,3,13,1,Mumbai,23366000
3568,5,2,18,2,Pune,33644000
3407,4,2,4,1,Thane,31656000
1699,4,2,2,0,Navi Mumbai,18292000
1730,4,3,15,0,Thane,17790000
1630,2,4,19,2,Pune,17190000
2475,1,2,9,0,Navi Mumbai,22650000
1960,5,4,25,1,Navi Mumbai,20530000
1971,4,2,9,1,Kalyan,19318000
3447,2,4,10,0,Navi Mumbai,31476000
1907,3,4,30,2,Pune,19356000
1934,4,3,26,1,Thane,19072000
1066,5,2,18,2,Pune,13628000
3392,5,1,30,2,Navi Mumbai,31036000
3501,2,4,25,1,Mumbai,34158000
3954,4,4,4,2,Thane,36832000
1591,3,2,22,1,Navi Mumbai,16128000
902,4,4,18,1,Kalyan,10916000
2675,4,1,25,1,Kalyan,23850000
3032,1,1,24,0,Thane,25656000
1281,5,1,18,2,Navi Mumbai,14748000
3682,3,4,3,0,Mumbai,37006000
1659,2,2,14,1,Navi Mumbai,16572000
2496,5,2,11,0,Navi Mumbai,24718000
1028,3,4,29,0,Mumbai,14474000
3590,2,3,9,1,Navi Mumbai,32570000
3812,2,4,11,1,Mumbai,37346000
2394,4,3,2,1,Mumbai,27152000
3918,1,1,27,1,Mumbai,35994000
3373,2,2,16,0,Kalyan,28984000
1255,3,4,30,1,Pune,13940000
3867,4,2,5,2,Navi Mumbai,35886000
2220,1,2,14,2,Navi Mumbai,20760000
2192,1,2,6,1,Mumbai,23536000
2964,1,2,11,1,Pune,26962000
2474,1,3,21,1,Kalyan,21542000
3217,3,4,19,1,Kalyan,28886000
1067,3,3,27,1,Kalyan,10986000
1306,3,1,21,0,Thane,12998000
1082,2,3,3,0,Thane,12206000
3440,2,4,13,2,Pune,31970000
2954,4,4,5,1,Kalyan,27982000
3440,2,2,15,1,Pune,31070000
1366,3,4,19,0,Thane,14478000
639,4,2,6,1,Kalyan,8812000
2670,4,4,21,1,Navi Mumbai,25910000
3508,4,4,5,0,Kalyan,32214000
726,2,3,1,1,Pune,10358000
2802,3,2,24,1,Kalyan,24716000
3641,4,1,18,0,Thane,32328000
3774,5,3,17,0,Navi Mumbai,34942000
2837,2,4,3,2,Pune,27646000
1819,1,4,8,1,Mumbai,21052000
2398,1,2,6,2,Kalyan,21584000
3422,3,4,5,2,Pune,32726000
3814,2,2,25,0,Kalyan,32062000
2036,5,3,19,2,Pune,21638000
1925,3,3,18,1,Kalyan,18300000
3382,1,2,30,1,Mumbai,31856000
1735,2,2,7,0,Thane,16930000
3993,2,4,15,0,Kalyan,34594000
3190,3,4,12,1,Mumbai,32820000
3195,1,4,16,2,Thane,28660000
3445,3,4,30,1,Thane,30760000
2983,1,1,23,1,Thane,25514000
859,5,4,6,1,Pune,12972000
2626,3,3,26,1,Thane,24108000
2841,5,2,18,1,Thane,26928000
3395,1,1,3,2,Navi Mumbai,30410000
666,1,2,14,1,Mumbai,10928000
2352,2,2,28,2,Thane,21216000
1251,3,1,20,1,Thane,12808000
937,3,2,1,1,Thane,11546000
3573,2,4,20,0,Mumbai,34784000
604,2,4,2,0,Kalyan,8132000
1526,5,4,0,0,Thane,17708000
3946,1,4,22,0,Navi Mumbai,34368000
890,2,4,2,2,Mumbai,14620000
1022,3,3,28,1,Pune,11876000
2167,2,2,2,2,Kalyan,20436000
634,5,2,14,1,Pune,10172000
3172,2,4,19,2,Navi Mumbai,29226000
1489,1,1,4,0,Kalyan,13712000
3590,4,3,30,1,Thane,32120000
3840,2,2,8,2,Mumbai,37320000
1616,5,3,24,2,Mumbai,20528000
3296,3,2,16,2,Kalyan,29268000
1372,4,3,20,0,Pune,15376000
2627,4,1,7,1,Kalyan,24366000
890,5,1,11,1,Pune,12070000
2184,5,4,11,2,Pune,23522000
3724,4,1,0,2,Mumbai,37492000
656,3,2,1,0,Navi Mumbai,9498000
2675,3,4,13,2,Navi Mumbai,26050000
937,5,2,8,0,Thane,11996000
923,5,2,25,0,Kalyan,10434000
1938,4,1,9,2,Navi Mumbai,19954000
3589,2,1,7,0,Navi Mumbai,31862000
1075,4,1,9,2,Pune,13350000
1089,1,2,22,0,Pune,11212000
2633,3,3,5,1,Pune,25914000
3671,3,1,24,0,Thane,31768000
3905,4,3,16,0,Thane,35140000
3517,5,1,15,1,Kalyan,31586000
2075,1,4,27,2,Pune,19850000
2106,2,3,24,0,Kalyan,18748000
3361,1,2,23,2,Mumbai,32238000
780,1,2,1,1,Thane,9290000
2168,2,2,29,0,Kalyan,18694000
3889,4,2,10,0,Navi Mumbai,35412000
3550,3,3,26,0,Kalyan,30700000
2127,1,1,5,0,Kalyan,18766000
788,4,1,28,1,Thane,9204000
3768,3,3,2,2,Navi Mumbai,35044000
632,3,2,9,2,Thane,8906000
3629,5,2,14,1,Kalyan,32832000
2620,2,2,4,0,Navi Mumbai,24560000
697,2,3,20,2,Mumbai,11876000
1972,1,4,27,2,Thane,18326000
1025,2,2,13,1,Mumbai,14350000
1183,3,1,1,0,Kalyan,12414000
2291,3,4,23,0,Kalyan,21078000
991,5,2,20,1,Mumbai,15228000
3024,5,1,13,2,Pune,29242000
1569,3,3,27,1,Navi Mumbai,16002000
3470,3,3,14,1,Pune,32160000
905,2,2,24,2,Mumbai,13040000
1236,1,2,14,1,Thane,12288000
2265,1,3,30,0,Navi Mumbai,20220000
1862,4,3,27,0,Mumbai,21446000
1245,3,1,6,1,Pune,14160000
973,2,3,12,2,Mumbai,14484000
3373,3,3,26,0,Mumbai,33084000
2256,4,2,3,1,Mumbai,25698000
3892,2,1,0,0,Pune,34936000
1135,2,4,11,2,Mumbai,16130000
2985,5,3,29,0,Mumbai,30830000
864,2,4,25,0,Mumbai,12862000
3997,3,1,1,1,Mumbai,38926000
1288,5,4,26,2,Navi Mumbai,15304000
2632,1,4,21,1,Pune,24406000
2049,2,2,8,1,Navi Mumbai,19992000
1208,1,2,20,1,Navi Mumbai,12164000
2287,5,4,1,0,Thane,23746000
2168,2,4,6,2,Kalyan,20844000
1620,5,1,12,2,Thane,17360000
2564,5,4,11,2,Kalyan,25262000
1917,4,3,5,0,Thane,19786000
3045,2,1,28,1,Mumbai,29460000
3912,4,3,24,2,Pune,35896000
1253,1,2,21,0,Thane,11874000
2785,1,2,18,1,Thane,24480000
1311,2,2,18,1,Thane,13188000
3023,1,3,30,2,Kalyan,25684000
1182,5,2,26,1,Kalyan,12656000
1865,2,4,1,0,Mumbai,22070000
1552,5,2,0,2,Navi Mumbai,18116000
602,3,2,25,0,Thane,7466000
3536,2,3,1,0,Pune,32638000
3002,2,1,27,2,Thane,26166000
897,3,4,18,0,Thane,10776000
1836,3,2,5,2,Navi Mumbai,19138000
3843,4,3,5,2,Kalyan,34994000
3440,5,3,7,2,Kalyan,32170000
3936,2,4,9,2,Thane,35438000
1121,2,1,30,2,Kalyan,10368000
